,Date,HomeTeam,AwayTeam,RunsHome,RunsAway,Inn,Win,Loss,Save,Time,Attendance
129,"Friday, Aug 27",LAD,COL,2.0,4.0,9.0,Freeland,Jackson,Estevez,3:10,40100.0
130,"Saturday, Aug 28",LAD,COL,5.0,2.0,9.0,Treinen,Bard,Jansen,3:42,42479.0
131,"Sunday, Aug 29",LAD,COL,0.0,5.0,9.0,Senzatela,White,None,3:21,37569.0
132,"Monday, Aug 30",LAD,ATL,5.0,3.0,9.0,Urias,Smyly,Treinen,3:00,49410.0
133,"Tuesday, Aug 31",LAD,ATL,3.0,2.0,9.0,Treinen,Matzek,Jansen,2:55,44952.0
134,"Wednesday, Sep 1",LAD,ATL,4.0,3.0,9.0,Bickford,Martin,Kelly,3:00,47473.0
142,"Friday, Sep 10",LAD,SDP,3.0,0.0,9.0,Urias,Musgrove,Jansen,2:53,48403.0
143,"Saturday, Sep 11",LAD,SDP,5.0,4.0,9.0,Buehler,Paddack,Jansen,3:02,46969.0
144,"Sunday, Sep 12",LAD,SDP,8.0,0.0,9.0,Scherzer,Lamet,None,2:45,42637.0
145,"Monday, Sep 13",LAD,ARI,5.0,1.0,9.0,Bickford,Gallen,None,3:15,43273.0
146,"Tuesday, Sep 14",LAD,ARI,8.0,4.0,9.0,Gonsolin,Weaver,None,3:14,44630.0
147,"Wednesday, Sep 15",LAD,ARI,5.0,3.0,9.0,Urias,Kelly,Jansen,3:26,46520.0
157,"Tuesday, Sep 28",LAD,SDP,2.0,1.0,9.0,Buehler,Darvish,Treinen,3:04,52128.0
158,"Wednesday, Sep 29",LAD,SDP,,,,,,,,
159,"Thursday, Sep 30",LAD,SDP,,,,,,,,
160,"Friday, Oct 1",LAD,MIL,,,,,,,,
161,"Saturday, Oct 2",LAD,MIL,,,,,,,,
162,"Sunday, Oct 3",LAD,MIL,,,,,,,,
1,"Thursday, Apr 1",MIA,TBR,0.0,1.0,9.0,Thompson,Garcia,Castillo,2:44,7062.0
2,"Friday, Apr 2",MIA,TBR,4.0,6.0,9.0,Kittredge,Bass,Castillo,3:22,6115.0
3,"Saturday, Apr 3",MIA,TBR,12.0,7.0,9.0,Bleier,Archer,None,3:32,6179.0
4,"Monday, Apr 5",MIA,STL,1.0,4.0,9.0,Ponce de Leon,Rogers,Reyes,3:09,4605.0
5,"Tuesday, Apr 6",MIA,STL,2.0,4.0,9.0,Helsley,Alcantara,Reyes,3:43,4982.0
6,"Wednesday, Apr 7",MIA,STL,0.0,7.0,9.0,Flaherty,Lopez,None,3:10,5244.0
14,"Friday, Apr 16",MIA,SFG,4.0,1.0,9.0,Bass,Wisler,Garcia,2:44,5734.0
15,"Saturday, Apr 17",MIA,SFG,7.0,6.0,10.0,Garcia,Garcia,None,3:56,6014.0
16,"Sunday, Apr 18",MIA,SFG,0.0,1.0,9.0,Wood,Lopez,Rogers,2:53,6129.0
17,"Tuesday, Apr 20",MIA,BAL,5.0,7.0,9.0,Harvey,Neidert,Valdez,3:26,4540.0
18,"Wednesday, Apr 21",MIA,BAL,3.0,0.0,9.0,Rogers,Zimmermann,Garcia,2:42,4028.0
