,Date,HomeTeam,AwayTeam,RunsHome,RunsAway,Inn,Win,Loss,Save,Time,Attendance
7,"Thursday, Apr 8",BAL,BOS,3.0,7.0,9.0,Rodriguez,Harvey,None,3:08,10150.0
8,"Saturday, Apr 10",BAL,BOS,4.0,6.0,10.0,Barnes,Tate,Andriese,3:34,9307.0
9,"Sunday, Apr 11",BAL,BOS,9.0,14.0,9.0,Pivetta,Lopez,None,3:46,8171.0
10,"Tuesday, Apr 13 (1)",BAL,SEA,3.0,4.0,8.0,Montero,Scott,Graveman,2:26,
11,"Tuesday, Apr 13 (2)",BAL,SEA,7.0,6.0,7.0,Valdez,Sadler,None,2:38,4147.0
12,"Thursday, Apr 15 (1)",BAL,SEA,2.0,4.0,7.0,Gonzales,Scott,Graveman,2:23,
13,"Thursday, Apr 15 (2)",BAL,SEA,1.0,2.0,7.0,Dunn,Zimmermann,Middleton,2:01,5060.0
19,"Friday, Apr 23",BAL,OAK,1.0,3.0,9.0,Irvin,Lopez,Diekman,2:53,7574.0
20,"Saturday, Apr 24",BAL,OAK,2.0,7.0,9.0,Bassitt,LeBlanc,None,3:19,7616.0
21,"Sunday, Apr 25",BAL,OAK,8.0,1.0,9.0,Means,Luzardo,None,2:56,8107.0
22,"Monday, Apr 26",BAL,NYY,4.0,2.0,9.0,Harvey,Garcia,Valdez,2:41,6367.0
23,"Tuesday, Apr 27",BAL,NYY,1.0,5.0,9.0,Kluber,Zimmermann,None,2:53,6662.0
24,"Wednesday, Apr 28",BAL,NYY,0.0,7.0,9.0,German,Kremer,None,2:33,7338.0
25,"Thursday, Apr 29",BAL,NYY,4.0,3.0,10.0,Scott,Loaisiga,None,3:30,7738.0
32,"Friday, May 7",BAL,BOS,2.0,6.0,9.0,Rodriguez,Harvey,None,3:25,7724.0
33,"Saturday, May 8",BAL,BOS,6.0,11.0,9.0,Richards,Lowther,None,3:25,10598.0
34,"Sunday, May 9",BAL,BOS,3.0,4.0,9.0,Pivetta,Kremer,Barnes,2:57,10274.0
35,"Monday, May 10",BAL,BOS,4.0,1.0,9.0,Scott,Andriese,Valdez,2:45,6826.0
38,"Friday, May 14",BAL,NYY,4.0,5.0,9.0,Kluber,Lakins,Loaisiga,2:55,10809.0
39,"Saturday, May 15",BAL,NYY,2.0,8.0,9.0,German,Lopez,None,3:03,10767.0
40,"Sunday, May 16",BAL,NYY,10.0,6.0,9.0,Zimmermann,King,None,3:13,11070.0
41,"Tuesday, May 18",BAL,TBR,6.0,13.0,9.0,Kittredge,Harvey,None,3:42,5429.0
42,"Wednesday, May 19",BAL,TBR,7.0,9.0,9.0,Thompson,Fry,Fairbanks,3:12,6581.0
43,"Thursday, May 20",BAL,TBR,1.0,10.0,9.0,Hill,Kremer,None,3:14,6916.0
54,"Monday, May 31",BAL,MIN,2.0,3.0,10.0,Rogers,Plutko,Robles,2:53,11010.0
55,"Tuesday, Jun 1",BAL,MIN,7.0,4.0,9.0,Zimmermann,Pineda,Sulser,3:21,5337.0
56,"Wednesday, Jun 2",BAL,MIN,6.0,3.0,9.0,Wells,Dobnak,None,2:54,5945.0
57,"Friday, Jun 4",BAL,CLE,3.0,1.0,9.0,Sulser,Shaw,Fry,2:50,12009.0
58,"Saturday, Jun 5",BAL,CLE,4.0,10.0,9.0,Civale,Means,None,3:28,9969.0
59,"Sunday, Jun 6",BAL,CLE,18.0,5.0,9.0,Lopez,Quantrill,None,3:10,9423.0
60,"Tuesday, Jun 8",BAL,NYM,10.0,3.0,9.0,Zimmermann,Peterson,None,3:14,9431.0
61,"Wednesday, Jun 9",BAL,NYM,1.0,14.0,9.0,Walker,Harvey,None,2:43,9584.0
69,"Friday, Jun 18",BAL,TOR,7.0,1.0,9.0,Wells,Ray,None,3:10,13284.0
70,"Saturday, Jun 19",BAL,TOR,7.0,10.0,9.0,Romano,Fry,None,3:10,10721.0
71,"Sunday, Jun 20",BAL,TOR,4.0,7.0,9.0,Ryu,Harvey,Chatwood,3:05,14917.0
72,"Monday, Jun 21",BAL,HOU,2.0,10.0,9.0,Odorizzi,Akin,None,3:40,7414.0
73,"Tuesday, Jun 22",BAL,HOU,1.0,3.0,9.0,Greinke,Lopez,Pressly,2:55,8510.0
74,"Wednesday, Jun 23",BAL,HOU,0.0,13.0,9.0,Urquidy,Eshelman,None,2:46,10013.0
85,"Tuesday, Jul 6",BAL,TOR,7.0,5.0,9.0,Watkins,Matz,None,3:03,7388.0
86,"Wednesday, Jul 7",BAL,TOR,2.0,10.0,9.0,Ryu,Harvey,None,3:23,7457.0
87,"Friday, Jul 9",BAL,CHW,1.0,12.0,9.0,Keuchel,Lopez,None,3:30,12077.0
88,"Saturday, Jul 10",BAL,CHW,3.0,8.0,9.0,Giolito,Eshelman,Hendriks,3:24,26391.0
89,"Sunday, Jul 11",BAL,CHW,5.0,7.0,10.0,Hendriks,Wells,Foster,3:47,11600.0
96,"Friday, Jul 23",BAL,WSN,6.0,1.0,9.0,Fry,Corbin,None,2:47,17022.0
97,"Saturday, Jul 24",BAL,WSN,5.0,3.0,9.0,Harvey,Lester,Tate,2:41,30898.0
98,"Sunday, Jul 25",BAL,WSN,5.0,4.0,9.0,Sulser,Hand,None,3:18,15690.0
99,"Tuesday, Jul 27",BAL,MIA,3.0,7.0,9.0,Alcantara,Watkins,None,3:06,10098.0
100,"Wednesday, Jul 28",BAL,MIA,8.0,7.0,9.0,Scott,Okert,None,3:32,8363.0
108,"Friday, Aug 6",BAL,TBR,6.0,10.0,9.0,Rasmussen,Fry,None,3:47,11320.0
109,"Saturday, Aug 7",BAL,TBR,3.0,12.0,9.0,McClanahan,Watkins,None,3:02,18545.0
110,"Sunday, Aug 8",BAL,TBR,6.0,9.0,9.0,Chargois,Fry,None,3:32,10576.0
111,"Tuesday, Aug 10",BAL,DET,4.0,9.0,9.0,Funkhouser,Akin,None,3:13,7124.0
112,"Wednesday, Aug 11",BAL,DET,2.0,5.0,9.0,Skubal,Harvey,Soto,3:01,8990.0
113,"Thursday, Aug 12",BAL,DET,4.0,6.0,9.0,Manning,Means,Fulmer,3:00,8382.0
121,"Friday, Aug 20",BAL,ATL,0.0,3.0,9.0,Fried,Akin,None,2:29,13583.0
122,"Saturday, Aug 21",BAL,ATL,4.0,5.0,9.0,Smyly,Harvey,Smith,3:01,15774.0
123,"Sunday, Aug 22",BAL,ATL,1.0,3.0,9.0,Toussaint,Means,Smith,2:55,11180.0
124,"Tuesday, Aug 24",BAL,LAA,8.0,14.0,9.0,Guerra,Watkins,None,3:50,8781.0
125,"Wednesday, Aug 25",BAL,LAA,10.0,6.0,9.0,Scott,Petricka,None,3:22,15867.0
126,"Thursday, Aug 26",BAL,LAA,13.0,1.0,9.0,Akin,Peguero,None,3:07,10211.0
127,"Friday, Aug 27",BAL,TBR,3.0,6.0,9.0,McClanahan,Harvey,Mazza,2:25,7155.0
128,"Saturday, Aug 28",BAL,TBR,3.0,4.0,9.0,Chargois,Sulser,Kittredge,2:50,11110.0
129,"Sunday, Aug 29",BAL,TBR,8.0,12.0,9.0,Chargois,Watkins,None,3:09,8353.0
136,"Monday, Sep 6",BAL,KCR,2.0,3.0,9.0,Tapia,Sulser,Barlow,3:02,11973.0
137,"Tuesday, Sep 7",BAL,KCR,7.0,3.0,9.0,Baumann,Kowar,None,2:47,4981.0
138,"Wednesday, Sep 8",BAL,KCR,9.0,8.0,9.0,Barreda,Staumont,Wells,3:32,4965.0
139,"Thursday, Sep 9",BAL,KCR,0.0,6.0,9.0,Hernandez,Means,None,2:44,5087.0
140,"Friday, Sep 10",BAL,TOR,6.0,3.0,9.0,Greene,Merryweather,Sulser,3:34,11751.0
141,"Saturday, Sep 11 (1)",BAL,TOR,10.0,11.0,7.0,Pearson,Wells,Romano,3:11,
142,"Saturday, Sep 11 (2)",BAL,TOR,2.0,11.0,7.0,Richards,Akin,None,2:28,10219.0
143,"Sunday, Sep 12",BAL,TOR,7.0,22.0,9.0,Matz,Lowther,None,3:26,8474.0
144,"Tuesday, Sep 14",BAL,NYY,2.0,7.0,9.0,Cole,Wells,None,3:28,10235.0
145,"Wednesday, Sep 15",BAL,NYY,3.0,4.0,9.0,Peralta,Wells,Chapman,3:18,10402.0
146,"Thursday, Sep 16",BAL,NYY,3.0,2.0,10.0,Sulser,Peralta,None,4:04,20164.0
153,"Thursday, Sep 23",BAL,TEX,3.0,0.0,9.0,Lowther,Otto,Wells,2:46,6328.0
154,"Friday, Sep 24",BAL,TEX,5.0,8.0,9.0,Sborz,Greene,Barlow,3:33,7935.0
155,"Saturday, Sep 25",BAL,TEX,3.0,2.0,9.0,Kriske,Lyles,Tate,2:54,10645.0
156,"Sunday, Sep 26",BAL,TEX,4.0,7.0,9.0,Cotton,Means,Barlow,3:11,13495.0
157,"Tuesday, Sep 28",BAL,BOS,4.0,2.0,9.0,Diplan,Sale,Sulser,2:37,8098.0
158,"Wednesday, Sep 29",BAL,BOS,,,,,,,,
159,"Thursday, Sep 30",BAL,BOS,,,,,,,,
1,"Friday, Apr 2",BOS,BAL,0.0,3.0,9.0,Means,Eovaldi,Valdez,3:10,4452.0
2,"Saturday, Apr 3",BOS,BAL,2.0,4.0,9.0,Plutko,Houck,Valdez,2:51,4571.0
3,"Sunday, Apr 4",BOS,BAL,3.0,11.0,9.0,Zimmermann,Richards,None,3:28,4458.0
4,"Monday, Apr 5",BOS,TBR,11.0,2.0,9.0,Pivetta,Wacha,None,3:26,4577.0
5,"Tuesday, Apr 6",BOS,TBR,6.0,5.0,12.0,Valdez,Thompson,None,4:25,4682.0
6,"Wednesday, Apr 7",BOS,TBR,9.0,2.0,9.0,Eovaldi,Yarbrough,None,2:51,4751.0
14,"Saturday, Apr 17",BOS,CHW,7.0,4.0,9.0,Ottavino,Heuer,None,3:36,4668.0
15,"Sunday, Apr 18 (1)",BOS,CHW,2.0,3.0,7.0,Keuchel,Houck,Hendriks,2:04,4679.0
16,"Sunday, Apr 18 (2)",BOS,CHW,1.0,5.0,7.0,Foster,Perez,None,2:24,4601.0
17,"Monday, Apr 19",BOS,CHW,11.0,4.0,9.0,Eovaldi,Giolito,None,3:15,4738.0
18,"Tuesday, Apr 20",BOS,TOR,4.0,2.0,9.0,Rodriguez,Ryu,Barnes,2:42,4728.0
19,"Wednesday, Apr 21",BOS,TOR,3.0,6.0,9.0,Borucki,Richards,Castro,3:45,4661.0
20,"Thursday, Apr 22",BOS,SEA,3.0,7.0,10.0,Montero,Hernandez,None,3:28,4617.0
21,"Friday, Apr 23",BOS,SEA,6.0,5.0,9.0,Sawamura,Kikuchi,None,3:28,4646.0
22,"Saturday, Apr 24",BOS,SEA,2.0,8.0,9.0,Flexen,Eovaldi,None,3:05,4621.0
23,"Sunday, Apr 25",BOS,SEA,5.0,3.0,9.0,Rodriguez,Margevicius,Barnes,2:44,4510.0
30,"Tuesday, May 4",BOS,DET,11.0,7.0,9.0,Pivetta,Fulmer,Barnes,3:38,4677.0
31,"Wednesday, May 5",BOS,DET,5.0,6.0,10.0,Soto,Whitlock,Fulmer,3:47,4661.0
32,"Thursday, May 6",BOS,DET,12.0,9.0,9.0,Andriese,Lange,Ottavino,4:13,4734.0
37,"Tuesday, May 11",BOS,OAK,2.0,3.0,9.0,Bassitt,Hernandez,Diekman,3:01,9264.0
38,"Wednesday, May 12",BOS,OAK,1.0,4.0,9.0,Kaprielian,Rodriguez,Diekman,2:59,9272.0
39,"Thursday, May 13",BOS,OAK,8.0,1.0,9.0,Richards,Manaea,Whitlock,2:54,9301.0
40,"Friday, May 14",BOS,LAA,4.0,3.0,9.0,Andriese,Watson,Barnes,2:45,9284.0
41,"Saturday, May 15",BOS,LAA,9.0,0.0,9.0,Perez,Bundy,None,2:52,9374.0
42,"Sunday, May 16",BOS,LAA,5.0,6.0,9.0,Iglesias,Barnes,Mayers,3:19,9316.0
49,"Tuesday, May 25",BOS,ATL,1.0,3.0,9.0,Morton,Richards,Smith,3:06,9357.0
50,"Wednesday, May 26",BOS,ATL,9.0,5.0,9.0,Pivetta,Smyly,None,2:56,9197.0
51,"Friday, May 28",BOS,MIA,5.0,2.0,6.0,Perez,Poteet,Ottavino,2:07,9005.0
52,"Saturday, May 29",BOS,MIA,3.0,1.0,9.0,Eovaldi,Rogers,Barnes,3:17,25089.0
60,"Monday, Jun 7",BOS,MIA,5.0,3.0,9.0,Sawamura,Thompson,Ottavino,3:38,25374.0
61,"Tuesday, Jun 8",BOS,HOU,1.0,7.0,9.0,Valdez,Perez,None,3:28,23604.0
62,"Wednesday, Jun 9",BOS,HOU,3.0,8.0,9.0,Odorizzi,Eovaldi,Javier,3:07,21007.0
63,"Thursday, Jun 10",BOS,HOU,12.0,8.0,9.0,Hernandez,Taylor,None,3:47,23378.0
64,"Friday, Jun 11",BOS,TOR,6.0,5.0,9.0,Whitlock,Dolis,None,3:31,25257.0
65,"Saturday, Jun 12",BOS,TOR,2.0,7.0,9.0,Matz,Pivetta,None,3:09,24024.0
66,"Sunday, Jun 13",BOS,TOR,4.0,18.0,9.0,Ray,Perez,None,2:54,22595.0
67,"Monday, Jun 14",BOS,TOR,2.0,1.0,9.0,Barnes,Dolis,None,2:42,20070.0
76,"Friday, Jun 25",BOS,NYY,5.0,3.0,9.0,Whitlock,German,Barnes,3:37,36869.0
77,"Saturday, Jun 26",BOS,NYY,4.0,2.0,9.0,Eovaldi,Montgomery,Ottavino,3:22,36857.0
78,"Sunday, Jun 27",BOS,NYY,9.0,2.0,9.0,Rodriguez,Cole,None,3:09,34504.0
79,"Monday, Jun 28",BOS,KCR,6.0,5.0,9.0,Sawamura,Staumont,Barnes,3:02,22766.0
80,"Tuesday, Jun 29",BOS,KCR,7.0,6.0,9.0,Rios,Brentz,Barnes,3:31,25180.0
81,"Wednesday, Jun 30",BOS,KCR,6.0,2.0,9.0,Perez,Minor,None,2:55,24616.0
82,"Thursday, Jul 1",BOS,KCR,15.0,1.0,9.0,Eovaldi,Bubic,None,3:08,27913.0
89,"Friday, Jul 9",BOS,PHI,11.0,5.0,9.0,Richards,Velasquez,None,3:44,32641.0
90,"Saturday, Jul 10",BOS,PHI,2.0,11.0,9.0,Falter,Perez,None,3:27,33202.0
91,"Sunday, Jul 11",BOS,PHI,4.0,5.0,9.0,Sanchez,Pivetta,Suarez,3:35,32586.0
97,"Thursday, Jul 22",BOS,NYY,5.0,4.0,10.0,Barnes,Kriske,None,3:48,34761.0
98,"Friday, Jul 23",BOS,NYY,6.0,2.0,9.0,Rios,Cole,None,3:26,34922.0
99,"Saturday, Jul 24",BOS,NYY,3.0,4.0,9.0,Taillon,Ottavino,Chapman,3:02,35136.0
100,"Sunday, Jul 25",BOS,NYY,5.0,4.0,9.0,Workman,Loaisiga,Barnes,2:50,32009.0
101,"Monday, Jul 26",BOS,TOR,5.0,4.0,9.0,Ottavino,Richards,Barnes,3:17,27142.0
102,"Wednesday, Jul 28 (1)",BOS,TOR,1.0,4.0,7.0,Ray,Richards,Romano,2:36,27410.0
103,"Wednesday, Jul 28 (2)",BOS,TOR,4.0,1.0,7.0,Whitlock,Matz,Barnes,2:27,27783.0
104,"Thursday, Jul 29",BOS,TOR,1.0,13.0,9.0,Ryu,Rodriguez,None,3:24,33191.0
115,"Tuesday, Aug 10",BOS,TBR,4.0,8.0,9.0,Kittredge,Barnes,None,3:28,28356.0
116,"Wednesday, Aug 11",BOS,TBR,20.0,8.0,9.0,Eovaldi,Fleming,None,3:17,30286.0
117,"Thursday, Aug 12",BOS,TBR,1.0,8.0,9.0,McHugh,Houck,None,2:59,26803.0
118,"Friday, Aug 13",BOS,BAL,8.0,1.0,9.0,Pivetta,Watkins,Richards,3:05,28022.0
119,"Saturday, Aug 14",BOS,BAL,16.0,2.0,9.0,Sale,Lopez,None,3:12,33118.0
120,"Sunday, Aug 15",BOS,BAL,6.0,2.0,9.0,Rodriguez,Akin,None,3:07,28935.0
124,"Friday, Aug 20",BOS,TEX,6.0,0.0,9.0,Sale,Dunning,None,3:13,30012.0
125,"Saturday, Aug 21",BOS,TEX,1.0,10.0,9.0,Lyles,Rodriguez,None,3:25,32495.0
126,"Monday, Aug 23",BOS,TEX,8.0,4.0,11.0,Whitlock,Santana,None,3:44,27652.0
127,"Tuesday, Aug 24",BOS,MIN,11.0,9.0,9.0,Taylor,Jax,Robles,4:09,27986.0
128,"Wednesday, Aug 25",BOS,MIN,6.0,9.0,10.0,Colome,Robles,None,4:07,28923.0
129,"Thursday, Aug 26",BOS,MIN,12.0,2.0,9.0,Sale,Gant,None,3:33,33746.0
137,"Friday, Sep 3",BOS,CLE,8.0,5.0,9.0,Ottavino,Quantrill,Whitlock,3:09,31127.0
138,"Saturday, Sep 4",BOS,CLE,4.0,3.0,9.0,Ottavino,Shaw,None,3:09,33081.0
139,"Sunday, Sep 5",BOS,CLE,5.0,11.0,9.0,Plesac,Crawford,Clase,3:59,27578.0
140,"Monday, Sep 6",BOS,TBR,10.0,11.0,10.0,McHugh,Whitlock,None,4:54,26512.0
141,"Tuesday, Sep 7",BOS,TBR,7.0,12.0,9.0,Rasmussen,Rodriguez,None,2:57,25065.0
142,"Wednesday, Sep 8",BOS,TBR,2.0,1.0,9.0,Richards,Chargois,Robles,2:46,26649.0
149,"Friday, Sep 17",BOS,BAL,7.0,1.0,9.0,Sale,Akin,None,3:27,29811.0
150,"Saturday, Sep 18",BOS,BAL,9.0,3.0,9.0,Houck,Baumann,None,3:09,30027.0
151,"Sunday, Sep 19",BOS,BAL,8.0,6.0,9.0,Sawamura,Greene,Richards,2:55,27010.0
152,"Tuesday, Sep 21",BOS,NYM,6.0,3.0,9.0,Brasier,Stroman,None,3:38,32146.0
153,"Wednesday, Sep 22",BOS,NYM,12.0,5.0,9.0,Sale,Walker,None,3:42,30254.0
154,"Friday, Sep 24",BOS,NYY,3.0,8.0,9.0,Cole,Eovaldi,None,3:31,36026.0
155,"Saturday, Sep 25",BOS,NYY,3.0,5.0,9.0,Severino,Houck,Chapman,3:33,36103.0
156,"Sunday, Sep 26",BOS,NYY,3.0,6.0,9.0,Green,Richards,Chapman,3:42,36312.0
8,"Thursday, Apr 8",CHW,KCR,6.0,0.0,9.0,Lynn,Keller,None,2:48,8207.0
9,"Sunday, Apr 11",CHW,KCR,3.0,4.0,10.0,Holland,Crochet,Zimmer,3:54,7695.0
10,"Monday, Apr 12",CHW,CLE,4.0,3.0,9.0,Heuer,Clase,None,3:05,7393.0
11,"Tuesday, Apr 13",CHW,CLE,0.0,2.0,10.0,Bieber,Crochet,Karinchak,3:02,7102.0
12,"Wednesday, Apr 14",CHW,CLE,8.0,0.0,9.0,Rodon,Plesac,None,2:40,7148.0
13,"Thursday, Apr 15",CHW,CLE,2.0,4.0,9.0,Civale,Lynn,Clase,3:17,7049.0
19,"Friday, Apr 23",CHW,TEX,9.0,7.0,9.0,Heuer,Cody,Hendriks,3:44,8969.0
20,"Saturday, Apr 24",CHW,TEX,2.0,1.0,9.0,Hendriks,King,None,2:58,8556.0
21,"Sunday, Apr 25",CHW,TEX,8.0,4.0,9.0,Kopech,Arihara,None,3:32,9285.0
22,"Tuesday, Apr 27",CHW,DET,2.0,5.0,9.0,Urena,Giolito,Soto,3:10,9445.0
23,"Thursday, Apr 29 (1)",CHW,DET,3.0,1.0,7.0,Rodon,Mize,Hendriks,1:50,
24,"Thursday, Apr 29 (2)",CHW,DET,11.0,0.0,7.0,Cease,Boyd,None,2:42,7628.0
25,"Friday, Apr 30",CHW,CLE,3.0,5.0,9.0,Bieber,Keuchel,Clase,2:55,9405.0
26,"Saturday, May 1",CHW,CLE,7.0,3.0,9.0,Lynn,McKenzie,None,3:02,9451.0
27,"Sunday, May 2",CHW,CLE,0.0,5.0,9.0,Plesac,Giolito,None,3:19,9471.0
33,"Tuesday, May 11",CHW,MIN,9.0,3.0,9.0,Crochet,Alcala,None,3:23,7962.0
34,"Wednesday, May 12",CHW,MIN,13.0,8.0,9.0,Keuchel,Happ,None,3:45,8393.0
35,"Thursday, May 13",CHW,MIN,4.0,2.0,9.0,Lynn,Pineda,Hendriks,3:31,8188.0
36,"Friday, May 14 (1)",CHW,KCR,2.0,6.0,7.0,Keller,Giolito,None,2:28,8574.0
37,"Friday, May 14 (2)",CHW,KCR,3.0,1.0,7.0,Heuer,Junis,Hendriks,2:30,9823.0
38,"Saturday, May 15",CHW,KCR,1.0,5.0,9.0,Minor,Rodon,None,3:21,9886.0
39,"Sunday, May 16",CHW,KCR,4.0,3.0,9.0,Foster,Davis,None,3:21,9928.0
46,"Monday, May 24",CHW,STL,5.0,1.0,9.0,Lynn,Kim,None,3:14,14629.0
47,"Tuesday, May 25",CHW,STL,8.0,3.0,9.0,Giolito,Flaherty,Hendriks,3:23,16380.0
48,"Wednesday, May 26",CHW,STL,0.0,4.0,9.0,Gant,Rodon,None,3:19,14791.0
49,"Thursday, May 27",CHW,BAL,5.0,1.0,9.0,Cease,Tate,None,3:18,9671.0
50,"Saturday, May 29 (1)",CHW,BAL,7.0,4.0,7.0,Keuchel,Harvey,Hendriks,2:44,
51,"Saturday, May 29 (2)",CHW,BAL,3.0,1.0,7.0,Lynn,Means,Hendriks,2:12,20029.0
52,"Sunday, May 30",CHW,BAL,3.0,1.0,9.0,Giolito,Tate,Hendriks,2:41,21067.0
56,"Thursday, Jun 3",CHW,DET,4.0,1.0,9.0,Lynn,Mize,Hendriks,2:29,12845.0
57,"Friday, Jun 4",CHW,DET,9.0,8.0,9.0,Hendriks,Cisnero,None,3:27,21637.0
58,"Saturday, Jun 5",CHW,DET,3.0,4.0,9.0,Skubal,Giolito,Cisnero,3:05,21719.0
59,"Sunday, Jun 6",CHW,DET,3.0,0.0,9.0,Cease,Urena,Hendriks,2:36,20068.0
60,"Tuesday, Jun 8",CHW,TOR,6.0,1.0,9.0,Crochet,Thornton,None,3:34,12761.0
61,"Wednesday, Jun 9",CHW,TOR,2.0,6.0,9.0,Chatwood,Bummer,None,3:26,14438.0
62,"Thursday, Jun 10",CHW,TOR,5.0,2.0,9.0,Keuchel,Ryu,Hendriks,2:43,16903.0
66,"Monday, Jun 14",CHW,TBR,2.0,5.0,9.0,Feyereisen,Lynn,Fairbanks,2:46,18024.0
67,"Tuesday, Jun 15",CHW,TBR,3.0,0.0,9.0,Keuchel,McClanahan,Hendriks,2:42,19259.0
68,"Wednesday, Jun 16",CHW,TBR,8.0,7.0,10.0,Burr,Fairbanks,None,3:24,20098.0
75,"Friday, Jun 25",CHW,SEA,3.0,9.0,9.0,Kikuchi,Rodon,None,3:31,32189.0
76,"Saturday, Jun 26",CHW,SEA,2.0,3.0,9.0,Sewald,Hendriks,Graveman,3:17,30017.0
77,"Sunday, Jun 27",CHW,SEA,7.0,5.0,7.0,Bummer,Dugger,Hendriks,2:53,30017.0
78,"Tuesday, Jun 29",CHW,MIN,7.0,6.0,9.0,Giolito,Maeda,Hendriks,3:20,17382.0
79,"Wednesday, Jun 30",CHW,MIN,13.0,3.0,9.0,Cease,Ober,None,3:04,16803.0
80,"Thursday, Jul 1",CHW,MIN,8.0,5.0,9.0,Kopech,Alcala,None,3:49,24944.0
90,"Friday, Jul 16",CHW,HOU,1.0,7.0,9.0,McCullers,Cease,None,3:07,34516.0
91,"Saturday, Jul 17",CHW,HOU,10.0,1.0,9.0,Giolito,Odorizzi,None,2:51,34304.0
92,"Sunday, Jul 18",CHW,HOU,4.0,0.0,9.0,Rodon,Valdez,None,2:28,34148.0
93,"Monday, Jul 19 (1)",CHW,MIN,2.0,3.0,8.0,Duffey,Crochet,Robles,2:45,
94,"Monday, Jul 19 (2)",CHW,MIN,5.0,3.0,7.0,Bummer,Berrios,None,1:54,18272.0
95,"Tuesday, Jul 20",CHW,MIN,9.0,5.0,9.0,Burr,Alcala,None,3:34,17703.0
96,"Wednesday, Jul 21",CHW,MIN,2.0,7.0,9.0,Pineda,Cease,None,3:15,25600.0
104,"Friday, Jul 30",CHW,CLE,6.0,4.0,9.0,Ruiz,Karinchak,Hendriks,3:42,36123.0
105,"Saturday, Jul 31",CHW,CLE,11.0,12.0,9.0,Garza,Kopech,Clase,3:37,35866.0
106,"Sunday, Aug 1",CHW,CLE,2.0,1.0,9.0,Hendriks,Wittgren,None,2:45,34344.0
107,"Tuesday, Aug 3",CHW,KCR,7.0,1.0,9.0,Cease,Bubic,None,2:44,19369.0
108,"Wednesday, Aug 4",CHW,KCR,1.0,9.0,9.0,Hernandez,Giolito,None,3:14,22793.0
109,"Thursday, Aug 5",CHW,KCR,2.0,3.0,9.0,Lynch,Keuchel,Brentz,2:58,23589.0
116,"Thursday, Aug 12",CHW,NYY,9.0,8.0,9.0,Hendriks,Britton,None,3:29,7832.0
117,"Saturday, Aug 14",CHW,NYY,5.0,7.0,10.0,Green,Hendriks,Abreu,4:20,38477.0
118,"Sunday, Aug 15",CHW,NYY,3.0,5.0,9.0,Cortes,Giolito,Peralta,3:48,37696.0
119,"Monday, Aug 16",CHW,OAK,5.0,2.0,9.0,Keuchel,Montas,Hendriks,3:16,19410.0
120,"Tuesday, Aug 17",CHW,OAK,9.0,0.0,9.0,Lopez,Bassitt,None,2:46,21025.0
121,"Wednesday, Aug 18",CHW,OAK,3.0,2.0,9.0,Crochet,Blackburn,Hendriks,3:20,22780.0
122,"Thursday, Aug 19",CHW,OAK,4.0,5.0,9.0,Irvin,Kopech,Trivino,2:57,23853.0
130,"Friday, Aug 27",CHW,CHC,17.0,13.0,9.0,Lopez,Sampson,None,4:09,37892.0
131,"Saturday, Aug 28",CHW,CHC,0.0,7.0,9.0,Mills,Lynn,None,2:45,38668.0
132,"Sunday, Aug 29",CHW,CHC,13.0,1.0,9.0,Cease,Hendricks,None,3:00,38565.0
133,"Tuesday, Aug 31",CHW,PIT,4.0,2.0,9.0,Kopech,Wilson,Hendriks,2:57,19221.0
134,"Wednesday, Sep 1",CHW,PIT,6.0,3.0,9.0,Rodon,Kranick,Hendriks,2:59,19231.0
141,"Friday, Sep 10",CHW,BOS,4.0,3.0,9.0,Rodon,Houck,Hendriks,3:48,34365.0
142,"Saturday, Sep 11",CHW,BOS,8.0,9.0,10.0,Whitlock,Wright,Taylor,4:12,37854.0
143,"Sunday, Sep 12",CHW,BOS,2.0,1.0,9.0,Kimbrel,Whitlock,None,2:57,36178.0
144,"Tuesday, Sep 14",CHW,LAA,9.0,3.0,9.0,Bummer,Naughton,None,3:21,21848.0
145,"Wednesday, Sep 15",CHW,LAA,2.0,3.0,9.0,Mayers,Kopech,Iglesias,3:12,26505.0
146,"Thursday, Sep 16",CHW,LAA,3.0,9.0,9.0,Cobb,Lopez,None,3:16,27098.0
158,"Tuesday, Sep 28",CHW,CIN,7.0,1.0,9.0,Lopez,O'Brien,None,2:49,25242.0
159,"Wednesday, Sep 29",CHW,CIN,,,,,,,,
160,"Friday, Oct 1",CHW,DET,,,,,,,,
161,"Saturday, Oct 2",CHW,DET,,,,,,,,
162,"Sunday, Oct 3",CHW,DET,,,,,,,,
4,"Monday, Apr 5",CLE,KCR,0.0,3.0,9.0,Duffy,Allen,Hahn,2:52,8914.0
5,"Wednesday, Apr 7",CLE,KCR,4.0,2.0,9.0,Clase,Holland,Wittgren,2:53,5908.0
6,"Friday, Apr 9",CLE,DET,4.0,1.0,9.0,Plesac,Holland,Clase,2:40,7775.0
7,"Saturday, Apr 10",CLE,DET,11.0,3.0,9.0,Civale,Skubal,None,2:53,7570.0
8,"Sunday, Apr 11",CLE,DET,5.0,2.0,9.0,Allen,Urena,Clase,3:04,6859.0
16,"Tuesday, Apr 20",CLE,CHW,5.0,8.0,9.0,Rodon,Plesac,Hendriks,3:39,4176.0
17,"Thursday, Apr 22",CLE,NYY,3.0,6.0,9.0,German,Wittgren,Chapman,3:31,6380.0
